Sat. 20 Aug. 15:00	 Olimpik Donetsk - Olexandria
Sat. 20 Aug. 17:30	 Dynamo Kiev - Volyn Lutsk
Sun. 21 Aug. 15:00	 Shakhtar - Dnipro
Sun. 21 Aug. 17:30	 Zorya - Karpaty
Sun. 21 Aug. 17:30	 Zirka - Chornomorets
Sun. 21 Aug. 17:30	 Vorskla - Stal Dnepr.
Fri. 26 Aug. 17:00	 Dnipro - Zorya
Sat. 27 Aug. 15:00	 Volyn Lutsk - Chornomorets
Sat. 27 Aug. 17:30	 Dynamo Kiev - Vorskla
Sun. 28 Aug. 15:00	 Olexandria - Zirka
Sun. 28 Aug. 15:00	 Karpaty - Olimpik Donetsk
Sun. 28 Aug. 17:30	 Stal Dnepr. - Shakhtar
