Fri. 11 Sep.	 Met. Kharkiv - Shakhtar	0:5	+	-	5
Sat. 12 Sep.	 Olimpik Donetsk - Hoverla	0:1	-	-	1
Sat. 12 Sep.	 Dynamo Kiev - Olexandria	3:0	+	-	3
Sat. 12 Sep.	 Zaporozhye - Dnipro	1:4	+	+	5
Sun. 13 Sep.	 Stal Dnepr. - Vorskla	1:2	+	+	3
Sun. 13 Sep.	 Chornomorets - Volyn Lutsk	1:2	+	+	3
Sun. 13 Sep.	 Karpaty - Zorya	1:1	-	+	2
Sat. 19 Sep.	 Shakhtar - Stal Dnepr.	2:0	-	-	2
Sat. 19 Sep.	 Vorskla - Olimpik Donetsk	2:1	+	+	3
Sat. 19 Sep.	 Zaporozhye - Met. Kharkiv	0:0	-	-	0
Sun. 20 Sep.	 Hoverla - Chornomorets	1:1	-	+	2
Sun. 20 Sep.	 Olexandria - Karpaty	4:1	+	+	5
Sun. 20 Sep.	 Volyn Lutsk - Dynamo Kiev	0:2	-	-	2
Sun. 20 Sep.	 Dnipro - Zorya	0:3	+	-	3
Sat. 26 Sep.	 Olimpik Donetsk - Shakhtar	2:3	+	+	5
Sat. 26 Sep.	 Dynamo Kiev - Hoverla	2:0	-	-	2
Sun. 27 Sep.	 Stal Dnepr. - Zaporozhye	3:0	+	-	3
Sun. 27 Sep.	 Zorya - Olexandria	1:1	-	+	2
Sun. 27 Sep.	 Chornomorets - Vorskla	0:0	-	-	0
Sun. 27 Sep.	 Karpaty - Volyn Lutsk	0:2	-	-	2
Sun. 27 Sep.	 Met. Kharkiv - Dnipro	1:2	+	+	3
Sat. 3 Oct.	 Met. Kharkiv - Stal Dnepr.	1:1	-	+	2
Sat. 3 Oct.	 Shakhtar - Chornomorets	2:0	-	-	2
Sat. 3 Oct.	 Zaporozhye - Olimpik Donetsk	0:3	+	-	3
Sun. 4 Oct.	 Hoverla - Karpaty	0:2	-	-	2
Sun. 4 Oct.	 Dnipro - Olexandria	2:0	-	-	2
Sun. 4 Oct.	 Vorskla - Dynamo Kiev	0:4	+	-	4
Sun. 4 Oct.	 Volyn Lutsk - Zorya	0:3	+	-	3
Fri. 16 Oct.	 Dynamo Kiev - Shakhtar	0:3	+	-	3
Sat. 17 Oct.	 Stal Dnepr. - Dnipro	0:6	+	-	6
Sun. 18 Oct.	 Olimpik Donetsk - Met. Kharkiv	3:0	+	-	3
Sun. 18 Oct.	 Olexandria - Volyn Lutsk	3:1	+	+	4
Sun. 18 Oct.	 Chornomorets - Zaporozhye	5:2	+	+	7
Sun. 18 Oct.	 Karpaty - Vorskla	1:3	+	+	4
Sun. 18 Oct.	 Zorya - Hoverla	2:1	+	+	3
Fri. 30 Oct.	 Zorya - Shakhtar	1:7	+	+	8
Sat. 31 Oct.	 Olimpik Donetsk - Dnipro	1:1	-	+	2
Sat. 31 Oct.	 Dynamo Kiev - Met. Kharkiv	2:0	-	-	2
Sat. 31 Oct.	 Karpaty - Zaporozhye	1:0	-	-	1
Sun. 1 Nov.	 Chornomorets - Stal Dnepr.	1:1	-	+	2
Sun. 1 Nov.	 Olexandria - Vorskla	1:1	-	+	2
Sun. 1 Nov.	 Volyn Lutsk - Hoverla	0:0	-	-	0
Sat. 7 Nov.	 Zorya - Zaporozhye	4:1	+	+	5
Sat. 7 Nov.	 Chornomorets - Olimpik Donetsk	0:2	-	-	2
Sat. 7 Nov.	 Karpaty - Met. Kharkiv	1:1	-	+	2
Sat. 7 Nov.	 Olexandria - Shakhtar	2:3	+	+	5
Sun. 8 Nov.	 Volyn Lutsk - Vorskla	2:1	+	+	3
Sun. 8 Nov.	 Dnipro - Hoverla	2:0	-	-	2
Sun. 8 Nov.	 Dynamo Kiev - Stal Dnepr.	2:0	-	-	2
Fri. 20 Nov.	 Olimpik Donetsk - Dynamo Kiev	0:3	+	-	3
Sat. 21 Nov.	 Chornomorets - Dnipro	0:0	-	-	0
Sat. 21 Nov.	 Vorskla - Hoverla	2:1	+	+	3
Sat. 21 Nov.	 Shakhtar - Volyn Lutsk	4:0	+	-	4
Sun. 22 Nov.	 Zaporozhye - Olexandria	0:2	-	-	2
Sun. 22 Nov.	 Stal Dnepr. - Karpaty	1:1	-	+	2
Sun. 22 Nov.	 Met. Kharkiv - Zorya	0:1	-	-	1
Sat. 28 Nov.	 Zorya - Stal Dnepr.	2:1	+	+	3
Sat. 28 Nov.	 Karpaty - Olimpik Donetsk	4:1	+	+	5
Sat. 28 Nov.	 Olexandria - Met. Kharkiv	2:0	-	-	2
Sun. 29 Nov.	 Volyn Lutsk - Zaporozhye	9:1	+	+	10
Sun. 29 Nov.	 Hoverla - Shakhtar	1:6	+	+	7
Sun. 29 Nov.	 Dynamo Kiev - Chornomorets	2:1	+	+	3
Mon. 30 Nov.	 Dnipro - Vorskla	0:2	-	-	2
Thu. 3 Dec.	 Shakhtar - Karpaty	3:0	+	-	3
Fri. 4 Dec.	 Zaporozhye - Dynamo Kiev	0:6	+	-	6
Sat. 5 Dec.	 Vorskla - Zorya	0:2	-	-	2
Sat. 5 Dec.	 Hoverla - Olexandria	1:2	+	+	3
Sat. 5 Dec.	 Dnipro - Volyn Lutsk	0:1	-	-	1
Sun. 6 Dec.	 Stal Dnepr. - Olimpik Donetsk	1:0	-	-	1
Sun. 6 Dec.	 Met. Kharkiv - Chornomorets	2:2	+	+	4
Sat. 5 Mar.	 Zaporozhye - Hoverla	-:+	-	-	0
Sat. 5 Mar.	 Stal Dnepr. - Olexandria	2:2	+	+	4
Sat. 5 Mar.	 Chornomorets - Karpaty	0:0	-	-	0
Sat. 5 Mar.	 Dynamo Kiev - Dnipro	2:0	-	-	2
Sun. 6 Mar.	 Olimpik Donetsk - Zorya	1:1	-	+	2
Sun. 6 Mar.	 Shakhtar - Vorskla	3:1	+	+	4
Sun. 6 Mar.	 Met. Kharkiv - Volyn Lutsk	3:0	+	-	3
Fri. 11 Mar.	 Karpaty - Dynamo Kiev	1:2	+	+	3
Sat. 12 Mar.	 Vorskla - Zaporozhye	+:-	-	-	0
Sat. 12 Mar.	 Olexandria - Olimpik Donetsk	0:0	-	-	0
Sat. 12 Mar.	 Zorya - Chornomorets	4:0	+	-	4
Sun. 13 Mar.	 Volyn Lutsk - Stal Dnepr.	1:0	-	-	1
Sun. 13 Mar.	 Hoverla - Met. Kharkiv	1:0	-	-	1
Sun. 13 Mar.	 Dnipro - Shakhtar	4:1	+	+	5
Sat. 19 Mar.	 Zaporozhye - Shakhtar	-:+	-	-	0
Sat. 19 Mar.	 Chornomorets - Olexandria	1:2	+	+	3
Sat. 19 Mar.	 Stal Dnepr. - Hoverla	1:0	-	-	1
Sat. 19 Mar.	 Met. Kharkiv - Vorskla	0:3	+	-	3
Sun. 20 Mar.	 Olimpik Donetsk - Volyn Lutsk	1:1	-	+	2
Sun. 20 Mar.	 Karpaty - Dnipro	0:1	-	-	1
Sun. 20 Mar.	 Dynamo Kiev - Zorya	1:0	-	-	1
Fri. 1 Apr.	 Shakhtar - Met. Kharkiv	8:1	+	+	9
Sat. 2 Apr.	 Vorskla - Stal Dnepr.	0:0	-	-	0
Sat. 2 Apr.	 Dnipro - Zaporozhye	+:-	-	-	0
Sat. 2 Apr.	 Zorya - Karpaty	4:1	+	+	5
Sat. 2 Apr.	 Olexandria - Dynamo Kiev	0:2	-	-	2
Sun. 3 Apr.	 Volyn Lutsk - Chornomorets	1:1	-	+	2
Sun. 3 Apr.	 Hoverla - Olimpik Donetsk	0:2	-	-	2
Sat. 9 Apr.	 Met. Kharkiv - Zaporozhye	+:-	-	-	0
Sat. 9 Apr.	 Olimpik Donetsk - Vorskla	1:1	-	+	2
Sat. 9 Apr.	 Chornomorets - Hoverla	1:0	-	-	1
Sun. 10 Apr.	 Stal Dnepr. - Shakhtar	3:3	+	+	6
Sun. 10 Apr.	 Karpaty - Olexandria	2:2	+	+	4
