Fri. 17 Jul.	 Spartak Moscow - Ufa	2:2	+	+	4
Sat. 18 Jul.	 CSKA Moscow - Rubin Kazan	1:0	-	-	1
Sat. 18 Jul.	 Rostov - Terek Grozny	1:1	-	+	2
Sun. 19 Jul.	 Zenit - Dinamo Moscow	2:1	+	+	3
Sun. 19 Jul.	 Saransk - Lokomotiv M.	0:1	-	-	1
Sun. 19 Jul.	 Anzhi - Krylya Sovetov	0:1	-	-	1
Mon. 20 Jul.	 Amkar Perm - FC Krasnodar	0:1	-	-	1
Mon. 20 Jul.	 Kuban Krasnodar - Ural	0:2	-	-	2
Fri. 24 Jul.	 Krylya Sovetov - CSKA Moscow	0:2	-	-	2
Sat. 25 Jul.	 Ufa - Rostov	1:2	+	+	3
Sat. 25 Jul.	 Dinamo Moscow - Saransk	2:2	+	+	4
Sat. 25 Jul.	 Terek Grozny - Kuban Krasnodar	1:1	-	+	2
Sun. 26 Jul.	 Ural - Zenit	1:4	+	+	5
Sun. 26 Jul.	 Rubin Kazan - Amkar Perm	0:2	-	-	2
Sun. 26 Jul.	 FC Krasnodar - Spartak Moscow	0:1	-	-	1
Mon. 27 Jul.	 Anzhi - Lokomotiv M.	1:3	+	+	4
Fri. 31 Jul.	 Kuban Krasnodar - Ufa	1:1	-	+	2
Sat. 1 Aug.	 Amkar Perm - Krylya Sovetov	1:0	-	-	1
Sat. 1 Aug.	 Zenit - Terek Grozny	3:0	+	-	3
Sat. 1 Aug.	 CSKA Moscow - Anzhi	1:0	-	-	1
Sun. 2 Aug.	 Lokomotiv M. - Dinamo Moscow	1:1	-	+	2
Sun. 2 Aug.	 Saransk - Ural	1:1	-	+	2
Sun. 2 Aug.	 Rostov - FC Krasnodar	0:0	-	-	0
Mon. 3 Aug.	 Spartak Moscow - Rubin Kazan	1:0	-	-	1
Fri. 7 Aug.	 Terek Grozny - Saransk	0:0	-	-	0
Sat. 8 Aug.	 Ural - Lokomotiv M.	1:3	+	+	4
Sat. 8 Aug.	 Anzhi - Dinamo Moscow	2:3	+	+	5
Sun. 9 Aug.	 CSKA Moscow - Amkar Perm	2:0	-	-	2
Sun. 9 Aug.	 Ufa - Zenit	0:1	-	-	1
Sun. 9 Aug.	 Krylya Sovetov - Spartak Moscow	0:2	-	-	2
Mon. 10 Aug.	 Rubin Kazan - Rostov	0:3	+	-	3
Mon. 10 Aug.	 FC Krasnodar - Kuban Krasnodar	1:1	-	+	2
Fri. 14 Aug.	 Amkar Perm - Anzhi	1:1	-	+	2
Fri. 14 Aug.	 Spartak Moscow - CSKA Moscow	1:2	+	+	3
Sat. 15 Aug.	 Zenit - FC Krasnodar	0:2	-	-	2
Sat. 15 Aug.	 Kuban Krasnodar - Rubin Kazan	0:1	-	-	1
Sun. 16 Aug.	 Lokomotiv M. - Terek Grozny	0:0	-	-	0
Sun. 16 Aug.	 Dinamo Moscow - Ural	1:0	-	-	1
Sun. 16 Aug.	 Rostov - Krylya Sovetov	1:1	-	+	2
Mon. 17 Aug.	 Saransk - Ufa	0:1	-	-	1
Fri. 21 Aug.	 Terek Grozny - Dinamo Moscow	1:1	-	+	2
Sat. 22 Aug.	 Amkar Perm - Spartak Moscow	1:3	+	+	4
Sat. 22 Aug.	 CSKA Moscow - Rostov	2:1	+	+	3
Sat. 22 Aug.	 Anzhi - Ural	1:1	-	+	2
Sun. 23 Aug.	 Ufa - Lokomotiv M.	0:3	+	-	3
Sun. 23 Aug.	 FC Krasnodar - Saransk	0:0	-	-	0
Mon. 24 Aug.	 Krylya Sovetov - Kuban Krasnodar	3:0	+	-	3
Mon. 24 Aug.	 Rubin Kazan - Zenit	1:3	+	+	4
Fri. 28 Aug.	 Ural - Terek Grozny	3:3	+	+	6
Fri. 28 Aug.	 Rostov - Amkar Perm	1:0	-	-	1
Sat. 29 Aug.	 Dinamo Moscow - Ufa	2:0	-	-	2
Sat. 29 Aug.	 Zenit - Krylya Sovetov	1:3	+	+	4
Sat. 29 Aug.	 Spartak Moscow - Anzhi	1:2	+	+	3
Sun. 30 Aug.	 Lokomotiv M. - FC Krasnodar	2:1	+	+	3
Sun. 30 Aug.	 Saransk - Rubin Kazan	2:1	+	+	3
Sun. 30 Aug.	 Kuban Krasnodar - CSKA Moscow	0:1	-	-	1
Sat. 12 Sep.	 CSKA Moscow - Zenit	2:2	+	+	4
Sat. 12 Sep.	 Amkar Perm - Kuban Krasnodar	1:1	-	+	2
Sat. 12 Sep.	 Rubin Kazan - Lokomotiv M.	3:1	+	+	4
Sun. 13 Sep.	 Spartak Moscow - Rostov	1:0	-	-	1
Sun. 13 Sep.	 FC Krasnodar - Dinamo Moscow	4:0	+	-	4
Sun. 13 Sep.	 Anzhi - Terek Grozny	0:2	-	-	2
Mon. 14 Sep.	 Ufa - Ural	0:1	-	-	1
Mon. 14 Sep.	 Krylya Sovetov - Saransk	1:0	-	-	1
Fri. 18 Sep.	 Rostov - Anzhi	1:0	-	-	1
Sat. 19 Sep.	 Terek Grozny - Ufa	4:1	+	+	5
Sat. 19 Sep.	 Kuban Krasnodar - Spartak Moscow	3:0	+	-	3
Sun. 20 Sep.	 Saransk - CSKA Moscow	4:6	+	+	10
Sun. 20 Sep.	 Zenit - Amkar Perm	1:1	-	+	2
Sun. 20 Sep.	 Lokomotiv M. - Krylya Sovetov	2:0	-	-	2
Mon. 21 Sep.	 Ural - FC Krasnodar	3:1	+	+	4
Mon. 21 Sep.	 Dinamo Moscow - Rubin Kazan	0:0	-	-	0
Sat. 26 Sep.	 CSKA Moscow - Lokomotiv M.	1:1	-	+	2
Sat. 26 Sep.	 Anzhi - Ufa	1:1	-	+	2
Sat. 26 Sep.	 Spartak Moscow - Zenit	2:2	+	+	4
Sun. 27 Sep.	 Krylya Sovetov - Dinamo Moscow	0:0	-	-	0
Sun. 27 Sep.	 FC Krasnodar - Terek Grozny	1:1	-	+	2
Sun. 27 Sep.	 Rubin Kazan - Ural	1:2	+	+	3
Mon. 28 Sep.	 Amkar Perm - Saransk	2:1	+	+	3
Mon. 28 Sep.	 Rostov - Kuban Krasnodar	2:1	+	+	3
Fri. 2 Oct.	 Ural - Krylya Sovetov	1:1	-	+	2
Sat. 3 Oct.	 Saransk - Spartak Moscow	0:1	-	-	1
Sat. 3 Oct.	 Zenit - Rostov	3:0	+	-	3
Sat. 3 Oct.	 Kuban Krasnodar - Anzhi	1:1	-	+	2
Sun. 4 Oct.	 Dinamo Moscow - CSKA Moscow	0:2	-	-	2
Sun. 4 Oct.	 Terek Grozny - Rubin Kazan	2:1	+	+	3
Sun. 4 Oct.	 Ufa - FC Krasnodar	1:1	-	+	2
Sun. 4 Oct.	 Lokomotiv M. - Amkar Perm	3:0	+	-	3
Sat. 17 Oct.	 CSKA Moscow - Ural	3:2	+	+	5
Sat. 17 Oct.	 Kuban Krasnodar - Zenit	2:2	+	+	4
Sat. 17 Oct.	 Amkar Perm - Dinamo Moscow	1:1	-	+	2
Sat. 17 Oct.	 Rubin Kazan - Ufa	3:1	+	+	4
Sun. 18 Oct.	 Spartak Moscow - Lokomotiv M.	1:2	+	+	3
Sun. 18 Oct.	 Krylya Sovetov - Terek Grozny	0:2	-	-	2
Sun. 18 Oct.	 Anzhi - FC Krasnodar	2:2	+	+	4
Mon. 19 Oct.	 Rostov - Saransk	3:2	+	+	5
Fri. 23 Oct.	 Ufa - Krylya Sovetov	1:0	-	-	1
Sat. 24 Oct.	 Ural - Amkar Perm	3:1	+	+	4
Sat. 24 Oct.	 Saransk - Kuban Krasnodar	1:1	-	+	2
Sat. 24 Oct.	 Zenit - Anzhi	5:1	+	+	6
Sun. 25 Oct.	 Dinamo Moscow - Spartak Moscow	2:3	+	+	5
Sun. 25 Oct.	 FC Krasnodar - Rubin Kazan	2:1	+	+	3
Sun. 25 Oct.	 Terek Grozny - CSKA Moscow	0:0	-	-	0
Mon. 26 Oct.	 Lokomotiv M. - Rostov	0:2	-	-	2
Sat. 31 Oct.	 CSKA Moscow - Ufa	2:0	-	-	2
Sat. 31 Oct.	 Zenit - Saransk	0:0	-	-	0
Sun. 1 Nov.	 Krylya Sovetov - FC Krasnodar	0:4	+	-	4
Sun. 1 Nov.	 Anzhi - Rubin Kazan	1:2	+	+	3
Sun. 1 Nov.	 Kuban Krasnodar - Lokomotiv M.	6:2	+	+	8
Sun. 1 Nov.	 Spartak Moscow - Ural	0:1	-	-	1
Mon. 2 Nov.	 Amkar Perm - Terek Grozny	1:0	-	-	1
Mon. 2 Nov.	 Rostov - Dinamo Moscow	1:0	-	-	1
Fri. 6 Nov.	 Saransk - Anzhi	4:0	+	-	4
Sat. 7 Nov.	 Ural - Rostov	1:2	+	+	3
Sat. 7 Nov.	 Ufa - Amkar Perm	2:1	+	+	3
Sat. 7 Nov.	 Dinamo Moscow - Kuban Krasnodar	2:1	+	+	3
Sat. 7 Nov.	 Terek Grozny - Spartak Moscow	2:1	+	+	3
Sun. 8 Nov.	 Rubin Kazan - Krylya Sovetov	2:0	-	-	2
Sun. 8 Nov.	 FC Krasnodar - CSKA Moscow	2:1	+	+	3
Sun. 8 Nov.	 Lokomotiv M. - Zenit	2:0	-	-	2
Sat. 21 Nov.	 Amkar Perm - Rubin Kazan	1:2	+	+	3
Sat. 21 Nov.	 CSKA Moscow - Krylya Sovetov	0:2	-	-	2
Sat. 21 Nov.	 Zenit - Ural	3:0	+	-	3
Sat. 21 Nov.	 Lokomotiv M. - Anzhi	0:2	-	-	2
Sun. 22 Nov.	 Saransk - Dinamo Moscow	1:1	-	+	2
Sun. 22 Nov.	 Kuban Krasnodar - Terek Grozny	2:2	+	+	4
Sun. 22 Nov.	 Spartak Moscow - FC Krasnodar	3:2	+	+	5
Mon. 23 Nov.	 Rostov - Ufa	1:1	-	+	2
Fri. 27 Nov.	 Ural - Saransk	3:1	+	+	4
Sat. 28 Nov.	 Ufa - Kuban Krasnodar	2:2	+	+	4
Sat. 28 Nov.	 Krylya Sovetov - Amkar Perm	0:0	-	-	0
Sat. 28 Nov.	 Terek Grozny - Zenit	4:1	+	+	5
Sun. 29 Nov.	 Anzhi - CSKA Moscow	1:1	-	+	2
Mon. 30 Nov.	 FC Krasnodar - Rostov	2:1	+	+	3
Mon. 30 Nov.	 Dinamo Moscow - Lokomotiv M.	2:2	+	+	4
Mon. 30 Nov.	 Rubin Kazan - Spartak Moscow	2:2	+	+	4
Thu. 3 Dec.	 Amkar Perm - CSKA Moscow	2:0	-	-	2
Thu. 3 Dec.	 Saransk - Terek Grozny	0:0	-	-	0
Thu. 3 Dec.	 Zenit - Ufa	1:1	-	+	2
Fri. 4 Dec.	 Lokomotiv M. - Ural	2:2	+	+	4
Fri. 4 Dec.	 Spartak Moscow - Krylya Sovetov	1:0	-	-	1
Fri. 4 Dec.	 Dinamo Moscow - Anzhi	1:2	+	+	3
Fri. 4 Dec.	 Rostov - Rubin Kazan	1:0	-	-	1
Fri. 4 Dec.	 Kuban Krasnodar - FC Krasnodar	2:3	+	+	5
Sat. 5 Mar.	 Krylya Sovetov - Rostov	0:1	-	-	1
Sat. 5 Mar.	 Rubin Kazan - Kuban Krasnodar	1:0	-	-	1
Sat. 5 Mar.	 FC Krasnodar - Zenit	0:0	-	-	0
Sun. 6 Mar.	 Ufa - Saransk	1:1	-	+	2
Sun. 6 Mar.	 Terek Grozny - Lokomotiv M.	2:1	+	+	3
Sun. 6 Mar.	 CSKA Moscow - Spartak Moscow	1:0	-	-	1
Mon. 7 Mar.	 Ural - Dinamo Moscow	1:1	-	+	2
Mon. 7 Mar.	 Anzhi - Amkar Perm	0:1	-	-	1
Fri. 11 Mar.	 Kuban Krasnodar - Krylya Sovetov	2:0	-	-	2
Sat. 12 Mar.	 Ural - Anzhi	4:2	+	+	6
Sat. 12 Mar.	 Spartak Moscow - Amkar Perm	2:1	+	+	3
Sat. 12 Mar.	 Rostov - CSKA Moscow	2:0	-	-	2
Sun. 13 Mar.	 Saransk - FC Krasnodar	0:1	-	-	1
Sun. 13 Mar.	 Lokomotiv M. - Ufa	2:0	-	-	2
Sun. 13 Mar.	 Zenit - Rubin Kazan	4:2	+	+	6
Mon. 14 Mar.	 Dinamo Moscow - Terek Grozny	0:1	-	-	1
